STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1766,"MINE PIT WATER ASSANSOL, WEST BENGAL",WEST BENGAL,30,31,30,8.1,8.3,8.2,787,801,792,0.8,0.8,0.8,0.66,1,0.89,14,14,14,21,170,71
1767,"DURGAPUR TOWN, NEAR IISCO, BURDWAN, WEST BENGAL",WEST BENGAL,27,28,27,7.5,8.1,7.9,233,813,426,0.3,0.8,0.5,0.464,1,0.88,2,2,2,4,4,4
1768,"DURGAPUR TOWN, BURDWAN, WEST BENGAL",WEST BENGAL,27,28,27,6.9,7.8,7.5,711,1260,1077,0.6,0.8,0.7,3,4.164,4,3,3,3,4,4,4
1769,"INSIDE HINDUSTAN LIVER FACTORY, HALDIA, WEST BENGAL",WEST BENGAL,29,33,30,7.3,7.5,7.5,233,3260,2251,0.6,1,0.9,0.04,0.15,0.09,NA,NA,NA,NA,NA,NA
1770,"NEAR IOC REFINERY HALDIA, WEST BENGAL",WEST BENGAL,34,34,34,7.4,7.4,7.4,2130,2130,2130,1.4,1.4,1.4,0,0,0,NA,NA,NA,NA,NA,NA
1771,"KALYANI INDUSTRIAL AREA, NADIA, WEST BENGAL",WEST BENGAL,28,29,28,7,7.2,7.1,689,729,702,0.6,0.7,0.6,0.15,0.4,0.29,NA,NA,NA,NA,NA,NA
1772,"BARSAT MUNICIPALITY NORTH 24-P, WEST BENGAL",WEST BENGAL,27,28,27,6.8,7.4,7.2,832,1077,914,0.9,1.8,1.2,0.37,1,0.68,8,8,8,NA,NA,NA
1773,"TANGRA, CALCUTTA ,WEST BENGAL",WEST BENGAL,27,32,29,7.4,7.8,7.6,1771,1830,1810,0.5,1.5,1.2,0.08,0.34,0.24,NA,NA,NA,11,11,11
1774,"TOPSIA CALCUTTA, WEST BENGAL",WEST BENGAL,28,34,30,7.3,7.7,7.4,1647,1786,1740,0.5,1.7,1.3,0,0,0,23,23,23,30,80,47
1775,"DHAPA CALCUTTA, WEST BENGAL",WEST BENGAL,27,34,29,7.3,7.3,7.3,1779,1850,1826,0.6,1.5,1.2,0.05,1,1,NA,NA,NA,4,4,4
1776,"GARIA CALCUTTA, WEST BENGAL",WEST BENGAL,26,31,28,7.3,7.6,7.5,1090,1136,1121,0.4,1.3,1,0,0,0,NA,NA,NA,8,8,8
1777,"BEHALA CALCUTTA, WEST BENGAL",WEST BENGAL,28,29,28,7.5,7.5,7.5,895,928,906,0.5,1.2,0.9,0,0,0,2,2,2,NA,NA,NA
1778,"DOMJUR HOWRAH, WEST BENGAL",WEST BENGAL,27,29,27,7.5,7.5,7.5,713,714,713,0.3,2.1,1.5,0,0,0,NA,NA,NA,NA,NA,NA
